name,last_name,first_name,display,position,proj
ANDERSCARLSON,CARLSON,ANDERS,Anders Carlson,K,127.2480378255
JAKEBATES,BATES,JAKE,Jake Bates,K,126.5131342185
ANTONIOGIBSON,GIBSON,ANTONIO,Antonio Gibson,RB,126.14311732799999
RASHODBATEMAN,BATEMAN,RASHOD,Rashod Bateman,WR,125.15065813
GRAHAMGANO,GANO,GRAHAM,Graham Gano,K,124.6590537685
EDDYPINEIRO,PINEIRO,EDDY,Eddy Pineiro,K,124.0818439215
JERMAINEBURTON,BURTON,JERMAINE,Jermaine Burton,WR,124.08150561900001
WILLREICHARD,REICHARD,WILL,Will Reichard,K,123.3381635165
JALENMCMILLAN,MCMILLAN,JALEN,Jalen McMillan,WR,123.239617153
HUNTERHENRY,HENRY,HUNTER,Hunter Henry,TE,123.036748846
TYCHANDLER,CHANDLER,TY,Ty Chandler,RB,122.87834207
CAMLITTLE,LITTLE,CAM,Cam Little,K,122.58722827849999
TYLERBOYD,BOYD,TYLER,Tyler Boyd,WR,122.447557848
MARVINMIMS,MIMS,MARVIN,Marvin Mims Jr.,WR,122.344494213
TYLERCONKLIN,CONKLIN,TYLER,Tyler Conklin,TE,121.942224391
WILLUTZ,LUTZ,WIL,Wil Lutz,K,121.05455824500001
J.K.DOBBINS,DOBBINS,J.K.,J.K. Dobbins,RB,120.986115512
KENDRICKBOURNE,BOURNE,KENDRICK,Kendrick Bourne,WR,120.88039570100001
TAYSOMHILL,HILL,TAYSOM,Taysom Hill,TE,120.5267693838
CHIEFS,CHIEFS,CHIEFS,Kansas City Chiefs,DEF,119.40416230449999
RILEYPATTERSON,PATTERSON,RILEY,Riley Patterson,K,118.157557699
CADEOTTON,OTTON,CADE,Cade Otton,TE,116.961915624
CHADRYLAND,RYLAND,CHAD,Chad Ryland,K,116.8727431145
DOLPHINS,DOLPHINS,DOLPHINS,Miami Dolphins,DEF,116.80774666300002
JALEELMCLAUGHLIN,MCLAUGHLIN,JALEEL,Jaleel McLaughlin,RB,116.03799988099999
TREYBENSON,BENSON,TREY,Trey Benson,RB,116.02263815
DJCHARK,CHARK,DJ,DJ Chark,WR,115.886783581
RICKYPEARSALL,PEARSALL,RICKY,Ricky Pearsall,WR,115.8720640615
SAINTS,SAINTS,SAINTS,New Orleans Saints,DEF,115.8531677295
DARIUSSLAYTON,SLAYTON,DARIUS,Darius Slayton,WR,114.739317258
