name,last_name,first_name,display,position,proj
KAIMIFAIRBAIRN,FAIRBAIRN,KAIMI,Ka'imi Fairbairn,K,140.41384027700002
KIRKCOUSINS,COUSINS,KIRK,Kirk Cousins,QB,252.25909837199998
ADAMTHIELEN,THIELEN,ADAM,Adam Thielen,WR,171.37531075
HARRISONBUTKER,BUTKER,HARRISON,Harrison Butker,K,146.365108915
KENDRICKBOURNE,BOURNE,KENDRICK,Kendrick Bourne,WR,145.40081802
LIONS,LIONS,LIONS,Lions D/ST,DEF,111.64253092300004
EVANMCPHERSON,MCPHERSON,EVAN,Evan McPherson,K,138.713375742
JAYLENWRIGHT,WRIGHT,JAYLEN,Jaylen Wright,RB,55.538768852000004
YOUNGHOEKOO,KOO,YOUNGHOE,Younghoe Koo,K,137.109941316
GREGZUERLEIN,ZUERLEIN,GREG,Greg Zuerlein,K,140.800522135
BRANDINCOOKS,COOKS,BRANDIN,Brandin Cooks,WR,155.36235381100002
SAINTS,SAINTS,SAINTS,Saints D/ST,DEF,114.38264849300003
DOLPHINS,DOLPHINS,DOLPHINS,Dolphins D/ST,DEF,117.07561028600001
JALENTOLBERT,TOLBERT,JALEN,Jalen Tolbert,WR,120.759072038
JAHANDOTSON,DOTSON,JAHAN,Jahan Dotson,WR,125.100056352
TYRONETRACY,TRACY,TYRONE,Tyrone Tracy Jr.,RB,59.976852601000004
JAKEMOODY,MOODY,JAKE,Jake Moody,K,138.655316524
CHIEFS,CHIEFS,CHIEFS,Chiefs D/ST,DEF,106.61095067699999
DALTONSCHULTZ,SCHULTZ,DALTON,Dalton Schultz,TE,132.14619582400002
ALEXANDERMATTISON,MATTISON,ALEXANDER,Alexander Mattison,RB,91.195636006
DESHAUNWATSON,WATSON,DESHAUN,Deshaun Watson,QB,258.117635538
COLEKMET,KMET,COLE,Cole Kmet,TE,132.9251602237
DONTAYVIONWICKS,WICKS,DONTAYVION,Dontayvion Wicks,WR,95.36954703800001
PATFREIERMUTH,FREIERMUTH,PAT,Pat Freiermuth,TE,138.660462522
JOSHDOWNS,DOWNS,JOSH,Josh Downs,WR,126.504384702
BILLS,BILLS,BILLS,Bills D/ST,DEF,93.46583782899997
JUSTINHERBERT,HERBERT,JUSTIN,Justin Herbert,QB,252.27110862800004
JAGUARS,JAGUARS,JAGUARS,Jaguars D/ST,DEF,118.314222299
MATTGAY,GAY,MATT,Matt Gay,K,134.08427796299998
RICKYPEARSALL,PEARSALL,RICKY,Ricky Pearsall,WR,87.466858127
CHARGERS,CHARGERS,CHARGERS,Chargers D/ST,DEF,79.03773343699999
BENGALS,BENGALS,BENGALS,Bengals D/ST,DEF,116.153774338
BEARS,BEARS,BEARS,Bears D/ST,DEF,108.93703989399997
BENSINNOTT,SINNOTT,BEN,Ben Sinnott,TE,71.681660714
DUSTINHOPKINS,HOPKINS,DUSTIN,Dustin Hopkins,K,135.51066708599998
CAIROSANTOS,SANTOS,CAIRO,Cairo Santos,K,137.29931357200002
TYLERBASS,BASS,TYLER,Tyler Bass,K,129.34273717599999
CAMERONDICKER,DICKER,CAMERON,Cameron Dicker,K,138.29025153799998
GIANTS,GIANTS,GIANTS,Giants D/ST,DEF,67.538868018
TREVORLAWRENCE,LAWRENCE,TREVOR,Trevor Lawrence,QB,247.86056931799996
TYLERCONKLIN,CONKLIN,TYLER,Tyler Conklin,TE,128.397998886
TUATAGOVAILOA,TAGOVAILOA,TUA,Tua Tagovailoa,QB,239.61527732200003
MATTHEWSTAFFORD,STAFFORD,MATTHEW,Matthew Stafford,QB,240.386948133
CHUBAHUBBARD,HUBBARD,CHUBA,Chuba Hubbard,RB,100.134993408
MILESSANDERS,SANDERS,MILES,Miles Sanders,RB,72.700354236
KEATONMITCHELL,MITCHELL,KEATON,Keaton Mitchell,RB,47.835873365000005
KHALILHERBERT,HERBERT,KHALIL,Khalil Herbert,RB,84.875115319
CLYDEEDWARDSHELAIRE,EDWARDSHELAIRE,CLYDE,Clyde Edwards-Helaire,RB,108.715931428
RAYDAVIS,DAVIS,RAY,Ray Davis,RB,75.281089115
JALYNNPOLK,POLK,JALYNN,Ja'Lynn Polk,WR,131.140043306
QUENTINJOHNSTON,JOHNSTON,QUENTIN,Quentin Johnston,WR,130.747501319
JOSHPALMER,PALMER,JOSH,Joshua Palmer,WR,138.70031396200002
TAYSOMHILL,HILL,TAYSOM,Taysom Hill,TE,123.8222156392
JUWANJOHNSON,JOHNSON,JUWAN,Juwan Johnson,TE,119.88465205000001
CHIGOZIEMOKONKWO,OKONKWO,CHIGOZIEM,Chigoziem Okonkwo,TE,118.1727375144
HUNTERHENRY,HENRY,HUNTER,Hunter Henry,TE,110.111759688
JAKEBATES,BATES,JAKE,Jake Bates,K,0.0
ROSCHONJOHNSON,JOHNSON,ROSCHON,Roschon Johnson,RB,73.956894086
JAREDGOFF,GOFF,JARED,Jared Goff,QB,235.21179252100004
BRYCEYOUNG,YOUNG,BRYCE,Bryce Young,QB,223.36459423199997
DRAKEMAYE,MAYE,DRAKE,Drake Maye,QB,216.634995012
