name,last_name,first_name,display,position,proj
KIMANIVIDAL,VIDAL,KIMANI,Kimani Vidal,RB,78.6
JALENNAILOR,NAILOR,JALEN,Jalen Nailor,WR,78.1
CLYDEEDWARDSHELAIRE,EDWARDSHELAIRE,CLYDE,Clyde Edwards-Helaire,RB,77.4
ALECPIERCE,PIERCE,ALEC,Alec Pierce,WR,75.7
DAMEONPIERCE,PIERCE,DAMEON,Dameon Pierce,RB,75.3
TYRONETRACY,TRACY,TYRONE,Tyrone Tracy Jr.,RB,74.1
ELIJAHMITCHELL,MITCHELL,ELIJAH,Elijah Mitchell,RB,73.7
KALIFRAYMOND,RAYMOND,KALIF,Kalif Raymond,WR,72.8
SAMAJEPERINE,PERINE,SAMAJE,Samaje Perine,RB,72.1
ALEXANDERMATTISON,MATTISON,ALEXANDER,Alexander Mattison,RB,71.8
MARSHAWNLLOYD,LLOYD,MARSHAWN,MarShawn Lloyd,RB,71.1
AJDILLON,DILLON,AJ,AJ Dillon,RB,70.6
JUSTINFIELDS,FIELDS,JUSTIN,Justin Fields,QB,70.12
JALINHYATT,HYATT,JALIN,Jalin Hyatt,WR,69.6
WILLSHIPLEY,SHIPLEY,WILL,Will Shipley,RB,68.9
HAYDENHURST,HURST,HAYDEN,Hayden Hurst,TE,68.8
VANJEFFERSON,JEFFERSON,VAN,Van Jefferson,WR,67.9
MIKEMAYER,MAYER,MIKE,Michael Mayer,TE,67.7
JELANIWOODS,WOODS,JELANI,Jelani Woods,TE,67.2
MIKEGESICKI,GESICKI,MIKE,Mike Gesicki,TE,66.5
JAYLENWRIGHT,WRIGHT,JAYLEN,Jaylen Wright,RB,66.3
A.T.PERRY,PERRY,A.T.,A.T. Perry,WR,65.6
DANIELBELLINGER,BELLINGER,DANIEL,Daniel Bellinger,TE,64.9
ROSCHONJOHNSON,JOHNSON,ROSCHON,Roschon Johnson,RB,64.8
CEDRICTILLMAN,TILLMAN,CEDRIC,Cedric Tillman,WR,63.9
ERICGRAY,GRAY,ERIC,Eric Gray,RB,63.6
DYLANLAUBE,LAUBE,DYLAN,Dylan Laube,RB,63.6
GERALDEVERETT,EVERETT,GERALD,Gerald Everett,TE,62.4
CEDWILSON,WILSON,CED,Ced Wilson,WR,62.4
TYLERSCOTT,SCOTT,TYLER,Tyler Scott,WR,61.8
NOAHGRAY,GRAY,NOAH,Noah Gray,TE,61.6
TREYSERMON,SERMON,TREY,Trey Sermon,RB,61.3
JAHEIMBELL,BELL,JAHEIM,Jaheim Bell,TE,60.3
DONTAFOREMAN,FOREMAN,DONTA,D'Onta Foreman,RB,59.6
MIKETHOMAS,THOMAS,MIKE,Michael Thomas,WR,59.2
TYLERHIGBEE,HIGBEE,TYLER,Tyler Higbee,TE,59.1
JOSHWHYLE,WHYLE,JOSH,Josh Whyle,TE,58.6
JUSTICEHILL,HILL,JUSTICE,Justice Hill,RB,58.2
TANKBIGSBY,BIGSBY,TANK,Tank Bigsby,RB,57.8
NELSONAGHOLOR,AGHOLOR,NELSON,Nelson Agholor,WR,57.4
JORDANMASON,MASON,JORDAN,Jordan Mason,RB,57.2
JAKEBOBO,BOBO,JAKE,Jake Bobo,WR,57.0
DENERICPRINCE,PRINCE,DENERIC,Deneric Prince,RB,56.3
TANNERHUDSON,HUDSON,TANNER,Tanner Hudson,TE,56.1
DALVINCOOK,COOK,DALVIN,Dalvin Cook,RB,55.6
NOAHBROWN,BROWN,NOAH,Noah Brown,WR,55.2
EMARIDEMERCADO,DEMERCADO,EMARI,Emari Demercado,RB,54.6
ISAACGUERENDO,GUERENDO,ISAAC,Isaac Guerendo,RB,53.5
KENNETHGAINWELL,GAINWELL,KENNETH,Kenneth Gainwell,RB,53.2
EVANHULL,HULL,EVAN,Evan Hull,RB,52.4
TYJOHNSON,JOHNSON,TY,Ty Johnson,RB,52.1
TUTUATWELL,ATWELL,TUTU,Tutu Atwell,WR,50.9
KEVINHARRIS,HARRIS,KEVIN,Kevin Harris,RB,50.8
DURHAMSMYTHE,SMYTHE,DURHAM,Durham Smythe,TE,50.2
MARQUEZVALDESSCANTLING,VALDESSCANTLING,MARQUEZ,Marquez Valdes-Scantling,WR,49.9
AUDRICESTIME,ESTIME,AUDRIC,Audric Estimé,RB,48.4
AIDANOCONNELL,OCONNELL,AIDAN,Aidan O'Connell,QB,47.94
CHRISRODRIGUEZ,RODRIGUEZ,CHRIS,Chris Rodriguez Jr.,RB,47.6
DEUCEVAUGHN,VAUGHN,DEUCE,Deuce Vaughn,RB,46.8
CHASEEDMONDS,EDMONDS,CHASE,Chase Edmonds,RB,46.4
IHMIRSMITHMARSETTE,SMITHMARSETTE,IHMIR,Ihmir Smith-Marsette,WR,44.0
DONALDPARHAM,PARHAM,DONALD,Donald Parham,TE,43.0
JEREMYRUCKERT,RUCKERT,JEREMY,Jeremy Ruckert,TE,42.9
BRAXTONBERRIOS,BERRIOS,BRAXTON,Braxton Berrios,WR,42.7
DERIUSDAVIS,DAVIS,DERIUS,Derius Davis,WR,42.1
KADARIUSTONEY,TONEY,KADARIUS,Kadarius Toney,WR,42.1
KEATONMITCHELL,MITCHELL,KEATON,Keaton Mitchell,RB,42.0
D.J.MONTGOMERY,MONTGOMERY,D.J.,D.J. Montgomery,WR,41.8
CORDARRELLEPATTERSON,PATTERSON,CORDARRELLE,Cordarrelle Patterson,RB,41.7
JASEMCCLELLAN,MCCLELLAN,JASE,Jase McClellan,RB,41.3
KAVONTAETURPIN,TURPIN,KAVONTAE,KaVontae Turpin,WR,41.0
JALENBROOKS,BROOKS,JALEN,Jalen Brooks,WR,40.7
JOHNNYMUNDT,MUNDT,JOHNNY,Johnny Mundt,TE,40.5
KYLENGRANSON,GRANSON,KYLEN,Kylen Granson,TE,40.3
QUEZWATKINS,WATKINS,QUEZ,Quez Watkins,WR,40.1
XAVIERHUTCHINSON,HUTCHINSON,XAVIER,Xavier Hutchinson,WR,39.4
JUJUSMITHSCHUSTER,SMITHSCHUSTER,JUJU,JuJu Smith-Schuster,WR,39.2
TOMMYTREMBLE,TREMBLE,TOMMY,Tommy Tremble,TE,39.0
WILLMALLORY,MALLORY,WILL,Will Mallory,TE,38.9
ISAIAHHODGINS,HODGINS,ISAIAH,Isaiah Hodgins,WR,38.7
RAKIMJARRETT,JARRETT,RAKIM,Rakim Jarrett,WR,38.5
TREYPALMER,PALMER,TREY,Trey Palmer,WR,38.2
CARSONSTEELE,STEELE,CARSON,Carson Steele,RB,37.8
DONOVANPEOPLESJONES,PEOPLESJONES,DONOVAN,Donovan Peoples-Jones,WR,37.5
NICKWESTBROOKIKHINE,WESTBROOKIKHINE,NICK,Nick Westbrook-Ikhine,WR,37.4
JOHNNYWILSON,WILSON,JOHNNY,Johnny Wilson,WR,37.2
LUCASKRULL,KRULL,LUCAS,Lucas Krull,TE,37.0
JOHNMETCHIE,METCHIE,JOHN,John Metchie III,WR,37.0
MALIKWASHINGTON,WASHINGTON,MALIK,Malik Washington,WR,37.0
CADESTOVER,STOVER,CADE,Cade Stover,TE,36.9
BRANDONPOWELL,POWELL,BRANDON,Brandon Powell,WR,36.4
JACOBYBRISSETT,BRISSETT,JACOBY,Jacoby Brissett,QB,36.36
ELIJAHHIGGINS,HIGGINS,ELIJAH,Elijah Higgins,TE,36.3
ROBERTTONYAN,TONYAN,ROBERT,Robert Tonyan,TE,36.3
DARNELLWASHINGTON,WASHINGTON,DARNELL,Darnell Washington,TE,36.3
CHARLIEJONES,JONES,CHARLIE,Charlie Jones,WR,36.2
TRENTSHERFIELD,SHERFIELD,TRENT,Trent Sherfield,WR,36.1
RASHEENALI,ALI,RASHEEN,Rasheen Ali,RB,36.0
PARRISCAMPBELL,CAMPBELL,PARRIS,Parris Campbell,WR,35.7
DEVENTHOMPKINS,THOMPKINS,DEVEN,Deven Thompkins,WR,35.5
AJBARNER,BARNER,AJ,AJ Barner,TE,35.0
SAMHOWELL,HOWELL,SAM,Sam Howell,QB,34.54
LOGANTHOMAS,THOMAS,LOGAN,Logan Thomas,TE,34.3
MIKECARTER,CARTER,MIKE,Michael Carter,RB,34.0
MECOLEHARDMAN,HARDMAN,MECOLE,Mecole Hardman,WR,34.0
MILESSANDERS,SANDERS,MILES,Miles Sanders,RB,33.8
CORNELIUSJOHNSON,JOHNSON,CORNELIUS,Cornelius Johnson,WR,33.6
DAVIDBELL,BELL,DAVID,David Bell,WR,33.2
ROBERTWOODS,WOODS,ROBERT,Robert Woods,WR,32.7
BREVINJORDAN,JORDAN,BREVIN,Brevin Jordan,TE,32.6
